ID,METHOD_SIG,RATING,SOURCE,CONFIDENCE,LAST_UPDATED
1,"void android.text.MeasuredText.<init> ()","@DSModeled(DSC.BAN)","SPECTRE",0.99,"2013-08-19 16:38:34"
2,"MeasuredText android.text.MeasuredText.obtain ()","@DSModeled(DSC.BAN)","SPECTRE",0.99,"2013-08-19 16:38:34"
3,"MeasuredText android.text.MeasuredText.recycle (MeasuredText)","@DSModeled(DSC.BAN)","SPECTRE",0.99,"2013-08-19 16:38:34"
4,"void android.text.MeasuredText.setPara (CharSequence, int, int, TextDirectionHeuristic)","@DSModeled(DSC.BAN)","SPECTRE",0.99,"2013-08-19 16:38:34"
5,"float android.text.MeasuredText.addStyleRun (TextPaint, int, FontMetricsInt)","@DSModeled(DSC.SAFE)","MODELER",1.0,"2013-08-19 16:38:34"
6,"float android.text.MeasuredText.addStyleRun (TextPaint, MetricAffectingSpan[], int, FontMetricsInt)","@DSModeled(DSC.BAN)","MODELER",1.0,"2013-08-19 16:38:34"
7,"int android.text.MeasuredText.breakText (int, int, boolean, float)","@DSModeled(DSC.BAN)","SPECTRE",0.99,"2013-08-19 16:38:34"
8,"float android.text.MeasuredText.measure (int, int)","@DSModeled(DSC.BAN)","SPECTRE",0.99,"2013-08-19 16:38:34"
676,"void android.renderscript.RSRuntimeException.<init> (String)","@DSModeled(DSC.SAFE)","MODELER",1.0,"2013-08-19 17:00:04"
1255,"boolean java.util.Collections$1.hasNext ()","@DSModeled(DSC.SAFE)","SPECTRE",0.99,"2013-08-19 18:51:14"
1256,"Object java.util.Collections$1.next ()","@DSModeled(DSC.SAFE)","PSYCHIC",0.9025194058,"2013-08-19 18:51:14"
1257,"void java.util.Collections$1.remove ()","@DSModeled(DSC.SAFE)","PSYCHIC",0.9033246173,"2013-08-19 18:51:14"
1258,"boolean java.util.Collections$2.hasMoreElements ()","@DSModeled(DSC.SAFE)","SPECTRE",0.99,"2013-08-19 18:51:14"
1259,"Object java.util.Collections$2.nextElement ()","@DSModeled(DSC.SAFE)","PSYCHIC",0.9027986175,"2013-08-19 18:51:14"
1413,"Object org.apache.harmony.security.x509.Extension$1$2.getDecodedObject (BerInputStream)","@DSModeled(DSC.SAFE)","PSYCHIC",0.9033246132,"2013-08-20 15:06:23"
1489,"boolean java.util.Collections.hasMoreElements ()","@DSModeled(DSC.SAFE)","FILE",1.0,"2013-08-20 15:16:04"
1490,"Object java.util.Collections.nextElement ()","@DSModeled(DSC.SAFE)","FILE",1.0,"2013-08-20 15:16:04"
1491,"void java.util.CopiesList.<init> (int, Object)","@DSModeled(DSC.SAFE)","FILE",1.0,"2013-08-20 15:16:04"
1492,"boolean java.util.CopiesList.contains (Object)","@DSModeled(DSC.SAFE)","FILE",1.0,"2013-08-20 15:16:04"
1493,"int java.util.CopiesList.size ()","@DSModeled(DSC.SAFE)","FILE",1.0,"2013-08-20 15:16:04"
1494,"Object java.util.CopiesList.get (int)","@DSModeled(DSC.SAFE)","FILE",1.0,"2013-08-20 15:16:05"
1495,"void java.util.EmptyList.<init> ()","@DSModeled(DSC.BAN)","FILE",1.0,"2013-08-20 15:16:05"
1496,"boolean java.util.EmptyList.contains (Object)","@DSModeled(DSC.SAFE)","FILE",1.0,"2013-08-20 15:16:05"
1497,"int java.util.EmptyList.size ()","@DSModeled(DSC.SAFE)","FILE",1.0,"2013-08-20 15:16:05"
1498,"Object java.util.EmptyList.get (int)","@DSModeled(DSC.SAFE)","FILE",1.0,"2013-08-20 15:16:05"
1499,"Object java.util.EmptyList.readResolve ()","@DSModeled(DSC.BAN)","FILE",1.0,"2013-08-20 15:16:05"
1500,"void java.util.EmptySet.<init> ()","@DSModeled(DSC.BAN)","FILE",1.0,"2013-08-20 15:16:05"
1501,"boolean java.util.EmptySet.contains (Object)","@DSModeled(DSC.SAFE)","FILE",1.0,"2013-08-20 15:16:05"
1502,"int java.util.EmptySet.size ()","@DSModeled(DSC.SAFE)","FILE",1.0,"2013-08-20 15:16:05"
1503,"Iterator java.util.EmptySet.iterator ()","@DSModeled(DSC.SAFE)","FILE",1.0,"2013-08-20 15:16:05"
1504,"Object java.util.EmptySet.readResolve ()","@DSModeled(DSC.BAN)","FILE",1.0,"2013-08-20 15:16:05"
1505,"void java.util.EmptyMap.<init> ()","@DSModeled(DSC.BAN)","FILE",1.0,"2013-08-20 15:16:05"
1506,"boolean java.util.EmptyMap.containsKey (Object)","@DSModeled(DSC.SAFE)","FILE",1.0,"2013-08-20 15:16:05"
